year,title,writer,ws
2020,Identifying and Quantifying Coordinated Manipulation of Upvotes and Downvotes in Naver News Comments,"J Jeong, J Kang, S Moon",Proceedings of the International AAAI Conference on Web and Social Media 14 …
2020,Welcome.,"S Moon, A Nicholson, A Roychoudhury","Commun. ACM 63 (4), 44-46"
2019,Enveloping Implicit Assumptions of Intrusive Data Structures within Ownership Type System,"K Lee, J Kang, W Yoon, J Kim, S Moon",Proceedings of the 10th Workshop on Programming Languages and Operating …
2018,Elastic scaling of stateful network functions,"S Woo, J Sherry, S Han, S Moon, S Ratnasamy, S Shenker",15th {USENIX} Symposium on Networked Systems Design and Implementation …
2017,Considerations on deploying high-performance container-based NFV,"DG Hong, J Shin, S Woo, S Moon","Proceedings of the 2nd Workshop on Cloud-Assisted Networking, 1-6"
2017,Toward building memory-safe network functions with modest performance overhead,SB Moon,USENIX Security'17
2017,Inter-event Time Distributions,"J Jeong, S Moon",
2017,Changing News Media Landscape in South Korea,"H Lim, C Chung, J Kim, J Kim, S Moon, M Cha",Proceedings of the 26th International Conference on World Wide Web Companion …
2017,Interval signature: Persistence and distinctiveness of inter-event time distributions in online human behavior,"J Jeong, S Moon",Proceedings of the 26th International Conference on World Wide Web Companion …
2017,Knapp: A packet processing framework for manycore accelerators,"J Shim, J Kim, K Lee, S Moon",2017 IEEE 3rd International Workshop on High-Performance Interconnection …
2017,Toward building memory-safe network functions with modest performance overhead,"K Lee, S Woo, S Seo, J Park, S Ryu, S Moon",ACM SIGCOMM Workshop NetPL 2017
2017,Protego: Cloud-scale multitenant ipsec gateway,"J Son, Y Xiong, K Tan, P Wang, Z Gan, S Moon","2017 {USENIX} Annual Technical Conference ({USENIX}{ATC} 17), 473-485"
2016,Dx: Latency-based congestion control for datacenters,"C Lee, C Park, K Jang, S Moon, D Han","IEEE/ACM Transactions on Networking 25 (1), 335-348"
2016,Power of Earned Advertising on SNS: A Case Study of Friend Tagging on Facebook,"JY Park, Y Sohn, SB Moon",AAAI The 10th International Conference on Web and Social Media (ICWSM) 2016
2016,Power of earned advertising on social network services: A case study of friend tagging on Facebook,"JY Park, Y Sohn, S Moon",Tenth International AAAI Conference on Web and Social Media
2016,Exploring low-latency interconnect for scaling out software routers,"S Ma, J Kim, S Moon",2016 2nd IEEE International Workshop on High-Performance Interconnection …
2016,СРЕДСТВА ИНФОРМАТИЗАЦИИ В СИСТЕМЕ ОБРАЗОВАНИЯ КАЗАХСТАНА,"C Fraleigh, S Moon, B Lyles, C Cotton, M Khan, D Moll, R Rockell","ББК 32.97 О 80, 43"
2015,NBA (network balancing act) a high-performance packet processing framework for heterogeneous processors,"J Kim, K Jang, K Lee, S Ma, J Shim, S Moon","Proceedings of the Tenth European Conference on Computer Systems, 1-14"
2015,An educational networking framework for full layer implementation and testing,"K Lee, J Kim, S Moon",Proceedings of the 46th ACM Technical Symposium on Computer Science …
2015,Accurate latency-based congestion feedback for datacenters,"C Lee, C Park, K Jang, S Moon, D Han","2015 {USENIX} Annual Technical Conference ({USENIX}{ATC} 15), 403-415"
2014,Invite your friends and get rewards: dynamics of incentivized friend invitation in kakaotalk mobile games,"J Jeong, S Moon","Proceedings of the second ACM conference on Online social networks, 151-160"
2014,Inferring twitter user locations with 10 km accuracy,"KM Ryoo, S Moon","Proceedings of the 23rd International Conference on World Wide Web, 643-648"
2013,Exploring the Solution Space of Community Detection Methods,"SB Moon, Y Sohn, J Ju, H Kwak",XXV IUPAP International Conference on Statistical Physics (STATPHYS25)
2013,Tower of Babel: A Crowdsourcing Building Sentiment Lexicons for Resource-scarce Languages,"SB Moon, Y Hong, H Kwak, Y Baek",WORKSHOP ON MULTIDISCIPLINARY APPRAOCH TO BIG SOCIAL DATA ANALYSIS IN …
2013,Sampling bias in user attribute estimation of OSNs,"H Park, S Moon","Proceedings of the 22nd International Conference on World Wide Web, 183-184"
2013,Resolving homonymy with correlation clustering in scholarly digital libraries,"J Ju, H Park, S Moon","Proceedings of the 22nd International Conference on World Wide Web, 665-672"
2013,Tower of babel: a crowdsourcing game building sentiment lexicons for resource-scarce languages,"Y Hong, H Kwak, Y Baek, S Moon","Proceedings of the 22nd International Conference on World Wide Web, 549-556"
2013,System and method for extracting users of similar interests between various types of web servers,"SB Moon, HW Kwak, HY Shin, JI Yoon","US Patent 8,423,542"
2013,A genealogy of information spreading on microblogs: A Galton-Watson-based explicative model,"D Wang, H Park, G Xie, S Moon, MA Kaafar, K Salamatian","2013 Proceedings IEEE INFOCOM, 2391-2399"
2012,Reviving delay-based TCP for data centers,"C Lee, K Jang, S Moon","Proceedings of the ACM SIGCOMM 2012 conference on Applications, technologies …"
2012,The Power of Batching in the Click Modular Router,"KS Park, J Kim, S Huh, K Jang, M Sue",ACM Asia-Pacific Workshop on Systems (ApSys 2012)
2012,The power of batching in the click modular router,"J Kim, S Huh, K Jang, KS Park, S Moon","Proceedings of the Asia-Pacific Workshop on Systems, 1-6"
2012,Visualizing a personal timeline by adding multiple social contexts,"H Kwak, Y Hong, J You, S Moon",Sixth International AAAI Conference on Weblogs and Social Media
2012,More of a receiver than a giver: why do people unfollow in Twitter?,"H Kwak, S Moon, W Lee",Sixth International AAAI Conference on Weblogs and Social Media
2012,Unmasking the growing UDP traffic in a campus network,"C Lee, DK Lee, S Moon","International Conference on Passive and Active Network Measurement, 1-10"
2012,Modeling and predicting the popularity of online contents with Cox proportional hazard regression model,"JG Lee, S Moon, K Salamatian","Neurocomputing 76 (1), 134-145"
2012,Using Delay-based TCP for Data Centers,"CH Lee, K Jang, S Moon","Proceedings of the Korean Information Science Society Conference, 430-432"
2012,Social and behavioral sciences,"TK Tee, J Md Yunos, B Mohammad, W Othman, YM Heong, ...","The development and implementation of Buzan mind mapping module, 705-708"
2012,Fragile Online Relationship: A First Look at Unfollow Dynamics in Twitter,"H Chun, S Moon","한국 HCI 학회 학술대회, 1694-1694"
